example_id                           | status | run_time        |
./spec/haml_to_erb_spec.rb[1:1:21:3] | passed | 0.00013 seconds |
./spec/haml_to_erb_spec.rb[1:1:22:1] | passed | 0.00015 seconds |
./spec/haml_to_erb_spec.rb[1:1:23:1] | passed | 0.00098 seconds |
./spec/haml_to_erb_spec.rb[1:1:23:2] | passed | 0.00016 seconds |
./spec/haml_to_erb_spec.rb[1:1:23:3] | passed | 0.00013 seconds |
./spec/haml_to_erb_spec.rb[1:1:24:1] | passed | 0.0001 seconds  |
./spec/haml_to_erb_spec.rb[1:1:25:1] | passed | 0.00006 seconds |
./spec/haml_to_erb_spec.rb[1:1:25:2] | passed | 0.00006 seconds |
./spec/haml_to_erb_spec.rb[1:1:25:3] | passed | 0.00006 seconds |
./spec/haml_to_erb_spec.rb[1:1:25:4] | passed | 0.00006 seconds |
./spec/haml_to_erb_spec.rb[1:1:26:1] | passed | 0.00053 seconds |
./spec/haml_to_erb_spec.rb[1:1:26:2] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:27:1] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:27:2] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:28:1] | passed | 0.00007 seconds |
./spec/haml_to_erb_spec.rb[1:1:28:2] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:28:3] | passed | 0.00016 seconds |
./spec/haml_to_erb_spec.rb[1:1:29:1] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:30:1] | passed | 0.00013 seconds |
./spec/haml_to_erb_spec.rb[1:1:31:1] | passed | 0.00014 seconds |
./spec/haml_to_erb_spec.rb[1:1:32:1] | passed | 0.00012 seconds |
./spec/haml_to_erb_spec.rb[1:1:32:2] | passed | 0.00011 seconds |
./spec/haml_to_erb_spec.rb[1:1:32:3] | passed | 0.00031 seconds |
./spec/haml_to_erb_spec.rb[1:1:32:4] | passed | 0.00012 seconds |
./spec/haml_to_erb_spec.rb[1:1:33:1] | passed | 0.00011 seconds |
./spec/haml_to_erb_spec.rb[1:1:33:2] | passed | 0.00012 seconds |
./spec/haml_to_erb_spec.rb[1:1:34:1] | passed | 0.00009 seconds |
./spec/haml_to_erb_spec.rb[1:1:34:2] | passed | 0.00006 seconds |
./spec/haml_to_erb_spec.rb[1:1:34:3] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:35:1] | passed | 0.00005 seconds |
./spec/haml_to_erb_spec.rb[1:1:35:2] | passed | 0.00006 seconds |
./spec/haml_to_erb_spec.rb[1:1:36:1] | passed | 0.00008 seconds |
./spec/haml_to_erb_spec.rb[1:1:36:2] | passed | 0.00009 seconds |
./spec/haml_to_erb_spec.rb[1:1:37:1] | passed | 0.00007 seconds |
./spec/haml_to_erb_spec.rb[1:1:38:1] | passed | 0.0001 seconds  |
